candidate_id,stage,candidate_family,candidate_rows,raw_generated_rows,success_regression_count_vs_g554_c00051,success_gain_count_vs_g554_c00051,success_rate_delta_vs_g554_c00051,both_success_quality_pairs_vs_g554_c00051,quality_delta_mean_vs_g554_c00051,bootstrap_ci_upper,better_count_vs_g554_c00051,worse_count_vs_g554_c00051,support_strata,support_seed_blocks,fingerprint_match_rate,candidate_recognized_all,cost_finite_all,theta_in_bounds_all,materialization_gate_passed,support_gate_passed,quality_gate_passed,ci_gate_passed,better_worse_gate_passed,success_rate_gate_passed,shortlist_ready,not_ready_reason,distance_from_g554_c00051,goal_projection_mode,active_field_deltas,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g556_c063174,stage2,,10000,10000,0,0,0,10000,-0.00286316484348,-0.0023446271386,4691,3567,216,500,1,True,True,True,True,True,True,True,True,True,True,,0.155407233764,flow_shield,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_commit_progress;theta_alpha_flow_wait_progress;theta_rho_cong_decay;theta_lambda_cong;theta_flow_shield_beta;theta_max_flow_shield;theta_max_edge_cost,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
g556_c044742,stage2,,10000,10000,0,0,0,10000,-0.00269204609278,-0.0021783771968,4655,3508,216,500,1,True,True,True,True,True,True,True,True,True,True,,0.143305546087,flow_shield,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_commit_progress;theta_alpha_flow_wait_progress;theta_rho_cong_decay;theta_lambda_cong;theta_flow_shield_beta;theta_max_flow_shield;theta_max_edge_cost,1.25,1.14357384245,1.25,0.75,0.75,1.06680989002,0.699624577999,0.983260218519,1,0.637850903447,0.65,0.327355866074,0.834877769533,1,10.853724547,1,0,0,False,False,False,False,False
g556_c071992,stage2,,10000,10000,0,0,0,10000,-0.00244061203945,-0.00191866163339,4618,3569,216,500,1,True,True,True,True,True,True,True,True,True,True,,0.12248701054,flow_shield,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_commit_progress;theta_alpha_flow_wait_progress;theta_rho_cong_decay;theta_lambda_cong;theta_flow_shield_beta;theta_max_flow_shield;theta_max_edge_cost,1.25,1.15823300472,1.25,0.75,0.75,1.04163178906,0.673479925183,0.984282700552,1,0.666003992988,0.65,0.324936828531,0.851070887204,1,10.6755067896,1,0,0,False,False,False,False,False
g556_c040314,stage2,,10000,10000,0,0,0,10000,-0.00236343952813,-0.00183381756609,4648,3622,216,500,1,True,True,True,True,True,True,True,True,True,True,,0.16649250052,flow_shield,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_commit_progress;theta_alpha_flow_wait_progress;theta_rho_cong_decay;theta_lambda_cong;theta_flow_shield_beta;theta_max_flow_shield;theta_max_edge_cost,1.25,1.15384303664,1.25,0.75,0.75,1.07490592373,0.706732936674,0.97905681393,1,0.686126898619,0.65,0.330126504162,0.860992766188,1,10.6659357343,1,0,0,False,False,False,False,False
g556_c015811,stage2,,10000,10000,0,0,0,10000,-0.00223928294356,-0.00172676822601,4527,3556,216,500,1,True,True,True,True,True,True,True,True,True,True,,0.123707688876,flow_shield,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_commit_progress;theta_alpha_flow_wait_progress;theta_rho_cong_decay;theta_lambda_cong;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,1.25,1.15081231636,1.25,0.75,0.75,1.05974468397,0.670149673299,0.982850475699,1,0.650420321239,0.65,0.322973446821,0.842611376957,0.990551843344,10.7787388539,1,0,0,False,False,False,False,False
g556_c075835,stage2,,10000,10000,0,0,0,10000,-0.00223181433803,-0.00173727958647,4479,3581,216,500,1,True,True,True,True,True,True,True,True,True,True,,0.119662171027,flow_shield,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_commit_progress;theta_alpha_flow_wait_progress;theta_rho_cong_decay;theta_lambda_cong;theta_flow_shield_beta;theta_max_flow_shield;theta_max_edge_cost,1.25,1.16027402985,1.25,0.75,0.75,1.07021562681,0.668522233806,0.981737521087,1,0.658432648702,0.65,0.325902129635,0.835604118604,1,10.6616712751,1,0,0,False,False,False,False,False
g556_c003799,stage2,,10000,10000,0,0,0,10000,-0.0021380357168,-0.00163290555205,4493,3564,216,500,1,True,True,True,True,True,True,True,True,True,True,,0.120729396819,flow_shield,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_commit_progress;theta_alpha_flow_wait_progress;theta_rho_cong_decay;theta_lambda_cong;theta_flow_shield_beta;theta_max_flow_shield;theta_max_edge_cost,1.25,1.15173304422,1.25,0.75,0.75,1.07845739258,0.674978049438,0.98131987014,1,0.67044016068,0.65,0.331933652341,0.83877539409,1,10.640372335,1,0,0,False,False,False,False,False
g556_c044935,stage2,,10000,10000,0,0,0,10000,-0.00211945007791,-0.00162094335573,4506,3549,216,500,1,True,True,True,True,True,True,True,True,True,True,,0.0994858490385,flow_shield,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_commit_progress;theta_alpha_flow_wait_progress;theta_rho_cong_decay;theta_lambda_cong;theta_flow_shield_beta;theta_max_flow_shield;theta_max_edge_cost,1.25,1.11704914577,1.25,0.75,0.75,1.034650693,0.682487680035,0.983187562937,1,0.666576352771,0.65,0.330050233591,0.837238786825,1,10.6680191261,1,0,0,False,False,False,False,False
g556_c063001,stage2,,10000,10000,0,0,0,10000,-0.0020058152728,-0.00150634255299,4428,3548,216,500,1,True,True,True,True,True,True,True,True,True,True,,0.172314158064,flow_shield,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_commit_progress;theta_alpha_flow_wait_progress;theta_rho_cong_decay;theta_lambda_cong;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,1.25,1.1420893144,1.25,0.75,0.75,1.08434692541,0.702888975706,0.979760195519,1,0.692542156374,0.65,0.327426696261,0.849526356837,0.981132899851,10.6658712745,1,0,0,False,False,False,False,False
g556_c012076,stage2,,10000,10000,0,0,0,10000,-0.00198856493161,-0.00149241187873,4475,3605,216,500,1,True,True,True,True,True,True,True,True,True,True,,0.127865856392,flow_shield,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_commit_progress;theta_alpha_flow_wait_progress;theta_rho_cong_decay;theta_lambda_cong;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,1.25,1.10569582046,1.25,0.75,0.75,1.02849245023,0.6905243153,0.983524188927,1,0.654726178321,0.65,0.322678175707,0.830579791177,0.99340824915,10.7848077157,1,0,0,False,False,False,False,False
